,kanwil,cabang,jalan,des_kec,kab_prov,telepon
2589,UPC DARWATI,CP CIPARAY,JALAN GEDEBAGE SELATAN NO 299B,"Darwati, Rancasari","Bandung, Jawa Barat",085101834563
2590,UPC SAPAN,CP CIPARAY,JALAN PACET KM 8,"Pangauban, Pacet","Bandung, Jawa Barat",085105548897
2591,UPC SINDANG LAYA,CP UJUNGBERUNG,JALAN RAYA SINDANGLAYA NO.319,"Karang Pamulang, Mandalajati","Bandung, Jawa Barat",02287823978
2592,UPC PANGHEGAR,CP UJUNGBERUNG,JALAN MEKARSARI NO.13,"Cipadung Kulon, Panyileukan","Bandung, Jawa Barat",02287885533
2593,UPC CIPAMOKOLAN,CP UJUNGBERUNG,JALAN CIPAMOKOLAN NO.34,"Darwati, Rancasari","Bandung, Jawa Barat",02288881527
2594,UPC PASAR UJUNGBERUNG,CP UJUNGBERUNG,JALAN CIGENDING,"Cigending, Ujung Berung","Bandung, Jawa Barat",0227817163
2595,UPC CILENGKRANG,CP UJUNGBERUNG,JALAN AH. NASUTION NO.218/70 A,"Cipadung Kulon, Panyileukan","Bandung, Jawa Barat",0227817291
2596,UPC PANYILEUKAN,CP KIARACONDONG,KOMP.BUMI PANYILEUKAN C4 NO.1,"Cipadung Kulon, Panyileukan","Bandung, Jawa Barat",08562117350
2597,UPC TURANGGA,CP KIARACONDONG,JALAN MARTANEGARA NO.68 C,"Turangga, Lengkong","Bandung, Jawa Barat",0227303320
2598,UPC RANCABOLAN,CP KIARACONDONG,JALAN RANCABOLANG NO. 44,"Manjahlega (Cisarantenkidul), Rancasari","Bandung, Jawa Barat",0227565451
2599,UPC CISARANTEN KULON,CP KIARACONDONG,JALAN CISARANTEN KULON NO. 133,"Cisaranten Kulon, Arcamanik","Bandung, Jawa Barat",02287885502
2600,UPC METRO TRADE CENTRE,CP METRO,KOMP. METRO TRADE CENTRE KAV C 26,"Sekejati, Buahbatu (Margacinta)","Bandung, Jawa Barat",0227536290
2601,UPC KALIJATI,CP SUBANG,JALAN RAYA KALIJATI BLOK TUGU UTARA NO.3,"Jalupang, Kalijati","Subang, Jawa Barat",0260461962
2602,UPC JALAN CAGAK,CP SUBANG,JALAN N. CAGAK NO.46,"Nagrak, Ciater","Subang, Jawa Barat",0260470026
2603,UPC PASAR PURWADADI,CP SUBANG,JALAN N. RAYA PASAR PURWADADI NO.88,"Panyingkiran, Purwadadi","Subang, Jawa Barat",02607490663
2604,UPC PRAPATAN WESEL OTISTA,CP SUBANG,JLN.OTISTA NO.184,"Karanganyar, Subang","Subang, Jawa Barat",0260412372
2605,UPC PEGADEN BARU,CP SUBANG,JL.RAYA PEGADEN NO.91,"Pagaden, Pagaden","Subang, Jawa Barat",0260450371
2606,UPC PANGLEJAR,CP SUBANG,JALAN N. SUTAATMAJA NO.12A,"Karanganyar, Subang","Subang, Jawa Barat",02607423542
2607,UPC SADANG,CP PURWAKARTA,JALAN VETERAN NO.1,"Mulyamekar, Babakancikao","Purwakarta, Jawa Barat",0264206260
2608,UPC PASAR JUMAT,CP PURWAKARTA,JALAN SURADIREJA NO.22,"Nagrikaler, Purwakarta","Purwakarta, Jawa Barat",0264232595
2609,UPC WANAYASA,CP PURWAKARTA,JALAN PRAMUKA NO.191,"Bunder, Jatiluhur","Purwakarta, Jawa Barat",02648222850
2610,UPC MUNJUL JAYA,CP PURWAKARTA,JALAN IPIK GANDAMANAH,"Munjuljaya, Purwakarta","Purwakarta, Jawa Barat",0264216018
2611,UPC CIKUTRA,CP SUCI,JALAN CIKUTRA NO. 94,"Padasuka, Cibeunying Kidul","Bandung, Jawa Barat",0227232016
2612,UPC SADANG SERANG,CP SUCI,JALAN CIKUTRA BARAT NO. 125,"Sadang Serang, Coblong","Bandung, Jawa Barat",0222511345
2613,UPC DAYEUH KOLOT,CP PASAR KORDON,JL. RAYA DAYEUHKOLOT NO. 349 DAYEUHKOLOT,"CITEUREUP, DAYEUHKOLOT","BANDUNG, Jawa Barat",0225230546
2614,UPC BOJONG SOAN,CP PASAR KORDON,JALAN RAYA BOJONGSOANG NO.113B,"Bojongsoang, Bojongsoang","Bandung, Jawa Barat",02287771069
2615,UPC CIWASTRA,CP PASAR KORDON,JL.CIWASTRA NO. 68 KEC. RANCASARI,"Mekar Mulya (Mekarjaya), Rancasari","Bandung, Jawa Barat",0227562141
2616,UPC BATUNUNGGAL,CP PASAR KORDON,JALAN WAAS KAV. 8,"Batununggal, Bandung Kidul","Bandung, Jawa Barat",0227567685
2617,UPC TAMAN KOPO INDAH,CP SAYATI,TAMAN KOPO INDAH II RUKO 1A NO.15,"RAHAYU, MARGAASIH","BANDUNG, Jawa Barat",0225421961
2618,UPC CIBADUYUT,CP SAYATI,JALAN TERUSAN CIBADUYUT KP. SITUTARATE,"Cibaduyut Kidul, Bojongloa Kidul","Bandung, Jawa Barat",0225415136
2619,UPC KOPO CIRANGRANG,CP SAYATI,JALAN KOPO CIRANGRANG NO.436,"Cirangrang, Babakan Ciparay","Bandung, Jawa Barat",0225400803
2620,UPC RANCAMANYAR,CP PASAR BANJARAN,JL. SAYURAN NO.37,"CANGKUANG KULON, DAYEUHKOLOT","BANDUNG, Jawa Barat",02285447530
2621,UPC PANGALENGAN,CP PASAR BANJARAN,JALAN RAYA PANGALENGAN,"Warnasari, Pangalengan","Bandung, Jawa Barat",0225978261
2622,UPC CANGKUANG,CP PASAR BANJARAN,JALAN RAYA SOREANG BANJARAN NO.197,"Tanjungsari, Cangkuang","Bandung, Jawa Barat",0225946937
2623,UPC REUNGAS CONDONG,CP PASAR BANJARAN,JALAN REUNGAS CONDONG NO.167,"Rancamanyar, Baleendah","Bandung, Jawa Barat",0225948848
2624,UPC BALEENDAH,CP PASAR BANJARAN,JALAN JAKSA NARANATA TIMUR,"Rancamanyar, Baleendah","Bandung, Jawa Barat",02285936281
2625,UPC JATISARI,CP CIKAMPEK,KAMPUNG KARAJAN,"Mekarsari, Jatisari","Karawang, Jawa Barat",02648375244
2626,UPC PASAR WADAS,CP CIKAMPEK,JALAN LAPANGAN BOLA MANDALA NO.6,"Lemahabang, Lemahabang","Karawang, Jawa Barat",02678621270
2627,UPC DAWUAN,CP CIKAMPEK,JALAN A. YANI NO.30,"Dawuan Tengah, Cikampek","Karawang, Jawa Barat",02648385408
2628,UPC JOMIN BARAT,CP CIKAMPEK,DUSUN KOSAMBI 1,"Duren, Klari","Karawang, Jawa Barat",02678617226
2629,UPC CIKOPO,CP CIKAMPEK,KOMPLEK BAKSO TITOTI,"Cikopo, Bungursari","Purwakarta, Jawa Barat",02648303431
2630,CP SUMEDANG,Wilayah 10 Bandung,JALAN PANGERAN SANTRI NO 80,"Kotakulon, Sumedang Selatan","Sumedang, Jawa Barat",0261201359
2631,CP TANJUNGSARI,Wilayah 10 Bandung,JALAN RAYA TANJUNG SARI NO.145,"Jatisari, Tanjungsari","Sumedang, Jawa Barat",0227911323
2632,CP KUNINGAN,Wilayah 10 Bandung,JALAN DEWI SARTIKA NO.1,"Kuningan, Kuningan","Kuningan, Jawa Barat",0232871948
2633,CP CILIMUS,Wilayah 10 Bandung,JALAN RAYA CILIMUS NO.12,"Cilimus, Cilimus","Kuningan, Jawa Barat",0232613055
2634,CP TASIKMALAYA,Wilayah 10 Bandung,JL. OTTO ISKANDARDINATA NO.8,"Empangsari, Tawang","Tasikmalaya, Jawa Barat",0265331587
2635,CP GARUT,Wilayah 10 Bandung,JALAN PASAR BARU NO.36,"Ciwalen, Garut Kota","Garut, Jawa Barat",0262233032
2636,CP CICALENGKA,Wilayah 10 Bandung,JALAN RAYA CICALENGKA NO 329 KAB BANDUNG,"Cicalengka Kulon, Cicalengka","Bandung, Jawa Barat",0227949223
2637,CP BANJAR,Wilayah 10 Bandung,JALAN PEGADAIAN NO 36 / BKR NO 36,"Hegarsari, Pataruman","Banjar, Jawa Barat",0265741074
2638,CP CIBATU,Wilayah 10 Bandung,JL. KH DEWANTARA NO 12,"Keresek, Cibatu","Garut, Jawa Barat",0262466015
2639,CP SINGAPARNA,Wilayah 10 Bandung,JALAN PEGADAIAN NO 774,"Singaparna, Singaparna","Tasikmalaya, Jawa Barat",0265545607
2640,CP MAJALENGKA,Wilayah 10 Bandung,JALAN KH. ABDUL HALIM NO. 266,"Cibodas, Majalengka","Majalengka, Jawa Barat",0233281572
2641,CP JATIWANGI,Wilayah 10 Bandung,JALAN RAYA JATIWANGI NO LLG 66,"Sutawangi, Jatiwangi","Majalengka, Jawa Barat",0233881027
2642,UPC CIMALAKA,CP SUMEDANG,JALAN RAYA CIMALAKA NO.112,"Cikole, Cimalaka","Sumedang, Jawa Barat",0261202448
2643,UPC DARMARAJA,CP SUMEDANG,JALAN ALUN-ALUN NO.1,"Paku Alam, Darmaraja","Sumedang, Jawa Barat",0262429815
2644,UPC PASAR SITURAJA,CP SUMEDANG,JALAN RAYA SITURAJA,"Situraja Utara, Situraja","Sumedang, Jawa Barat",082219349065
2645,UPC CILEUNYI,CP TANJUNGSARI,JALAN JALAN RAYA CILEUNYI NO.24 A,"Cileunyi Wetan, Cileunyi","Bandung, Jawa Barat",0227816737
2646,UPC CIBIRU,CP TANJUNGSARI,JALAN AH. NASUTION NO.304,"Cipadung Kulon, Panyileukan","Bandung, Jawa Barat",081251725820
2647,UPC PERMATA BIRU,CP TANJUNGSARI,JALAN KOMP. PERMATA BIRU BLOK R 73A,"Cinunuk, Cileunyi","Bandung, Jawa Barat",02287884421
2648,UPC SAYANG,CP TANJUNGSARI,JALAN KOLONEL AHMAD SYAM,"Cinangsi, Cisitu","Sumedang, Jawa Barat",0227790566
2649,UPC ANCARAN,CP KUNINGAN,JALAN RAYA RE.MARTHADINATA BLOK.5-6,"Ciporang, Kuningan","Kuningan, Jawa Barat",02328882038
2650,UPC LURAGUNG,CP KUNINGAN,JALAN RAYA LURAGUNG SINDANG SUKA,"Sindangsuka, Luragung","Kuningan, Jawa Barat",087723150016
2651,UPC KRAMAT MULYA,CP CILIMUS,JALAN RAYA KRAMATMULYA NO.640 DPN. PASAR KRAMATMULYA,"Karamatmulya, Kramat Mulya","Kuningan, Jawa Barat",02328880932
2652,UPC CIAWIGEBANG,CP CILIMUS,JALAN SILIWANGI N0.51,"Ciputat, Ciawigebang","Kuningan, Jawa Barat",0232878386
2653,UPC SINDANGKASIH,CP TASIKMALAYA,KOMPLEK PASAR SINDANGKASIH BLOK A.2,"Sukaresik, Sindangkasih","Ciamis, Jawa Barat",02652352443
2654,UPC MAYASARI PLASA,CP TASIKMALAYA,MAYASARI PLAZA JL. PASAR WETAN BLOK B,"Yudanagara, Cihideung","Tasikmalaya, Jawa Barat",02652316075
2655,UPC SILIWANGI,CP TASIKMALAYA,JALAN BKR NO.03,"Kahuripan, Tawang","Tasikmalaya, Jawa Barat",0265340174
2656,UPC CIAMIS,CP TASIKMALAYA,JL. AHMAD YANI NO.42 CIAMIS,"Ciamis, Ciamis","Ciamis, Jawa Barat",0265773131
2657,UPC MANONJAYA,CP TASIKMALAYA,JALAN PASAR KIDUL NO. 38 MANONJAYA,"Kamulyan, Manonjaya","Tasikmalaya, Jawa Barat",0265381559
2658,UPC KAWALI,CP TASIKMALAYA,JL. RAYA SILIWANGI,"Karangpawitan, Kawali","Ciamis, Jawa Barat",02652797644
2659,UPC CIAWI TALI,CP GARUT,"JALAN TERUSAN PEMBANGUNAN NO.2, DESA.JAYARAGA, KEC.TA","Jayaraga, Tarogong Kidul","Garut, Jawa Barat",0262233635
2660,UPC TAROGONG,CP GARUT,JALAN OTO ISKANDARDINATA NO.277,"Tarogong, Tarogong Kidul","Garut, Jawa Barat",02622246682
2661,UPC CIKAJANG,CP GARUT,"JALAN RAYA CIKAJANG, , DESA. PADASUKA, KEC CIKAJANG.","Padasuka, Cikajang","Garut, Jawa Barat",0262577545
2662,UPC BAYONGBONG,CP GARUT,"JALAN RAYA SIMPANG NO.59 B, , DS. MULYASARI, KEC. BAYONGBONG","Mulyasari, Bayongbong","Garut, Jawa Barat",0262542917
2663,UPC SUKADANA,CP GARUT,"JALAN BRATHAYUDA NO.121, KEL.KOTA KULON, KEC. GARUT","Kotakulon, Garut Kota","Garut, Jawa Barat",0262239319
2664,UPC SUKA PADANG,CP GARUT,"JALAN PEMBANGUNAN NO.8, DS. SUKAKARYA, KEC. TAROGONG","Sukakarya, Tarogong Kidul","Garut, Jawa Barat",02622245193
2665,UPC PARAKAN MUNCANG,CP CICALENGKA,JALAN PARAKAN MUNCANG NO 235 KP JARI KOLOT,"Sindanggalih, Cimanggung","Sumedang, Jawa Barat",0227780291
2666,UPC DANGDEUR,CP CICALENGKA,JALAN RAYA RANCAEKEK-MAJALAYA KM1 BOJONGJATI NO 1,"Linggar, Rancaekek","Bandung, Jawa Barat",0227798515
2667,UPC BANJARSARI,CP BANJAR,JALAN PEGADAIAN NO.79 BANJARSARI,"Banjarsari, Banjarsari","Ciamis, Jawa Barat",0265650058
2668,UPC PANGANDARAAN,CP BANJAR,JALAN MERDEKA NO.336 PANGANDARAN,"Pananjung, Pangandaran","Ciamis, Jawa Barat",0265639058
2669,UPC CIJULANG,CP BANJAR,JALAN RAYA CIJULANG SAMPING POLSEK CIJULANG,"Margacinta, Cijulang","Ciamis, Jawa Barat",02652640026
2670,UPC PADAHERANG,CP BANJAR,JALAN RAYA PADAHERANG SAMPING INDOMART,"Bojongsari, Padaherang","Ciamis, Jawa Barat",0265655334
2671,UPC LIMBANGAN,CP CIBATU,JALAN RAYA LIMBANGAN KP RANDU KURUNG,"Dunguswiru, Blubur Limbangan","Garut, Jawa Barat",0262431050
2672,UPC LELES,CP CIBATU,JALAN RAYA LELES NO 31,"Leles, Leles","Garut, Jawa Barat",0262455105
2673,UPC WANARAJA,CP CIBATU,JLN. RAYA WANARAJA - CIKOLE,"Sukamenak, Wanaraja","Garut, Jawa Barat",0262441426
2674,UPC CIKURUBUK,CP SINGAPARNA,RUKO BLOK V NO 19 PASAR CIKURUBUK,"Linggajaya, Mangkubumi","Tasikmalaya, Jawa Barat",0265344449
2675,UPC CIAWI,CP SINGAPARNA,JALAN RAYA UTARA NO 47,"Kurniabakti, Ciawi","Tasikmalaya, Jawa Barat",0265455106
2676,UPC RAJAPOLAH,CP SINGAPARNA,JALAN RAYA RAJAPOLAH NO 170,"Rajapolah, Rajapolah","Tasikmalaya, Jawa Barat",0265421219
2677,UPC MANGKUBUMI,CP SINGAPARNA,JALAN RAYA SUKARAJA,"Sukapura, Sukaraja","Tasikmalaya, Jawa Barat",0265566032
2678,UPC MANGKUBUMI,CP SINGAPARNA,JALAN A.H. NASUTION NO 215,"Mangkubumi, Mangkubumi","Tasikmalaya, Jawa Barat",02652355544
2679,UPC TALAGA,CP MAJALENGKA,JALAN JENDRAL SUDIRMAN NO. 17,"Sukaperna, Talaga","Majalengka, Jawa Barat",02338317573
2680,UPC RAJA GALUH,CP MAJALENGKA,JL.PANGERAN MUHAMAD NO.18,"Rajagaluh, Rajagaluh","Majalengka, Jawa Barat",0233511126
2681,UPC KADIPATEN,CP MAJALENGKA,JALAN BRAWIJAYA MAJALENGKA,"Majalengka Kulon, Majalengka","Majalengka, Jawa Barat",0233661032
2682,UPC LEUWIMUNDING,CP JATIWANGI,JALAN ALUN - ALUN LEUWIMUNDING NO. 54 BLOK MINGGU,"Leuwimunding, Leuwimunding","Majalengka, Jawa Barat",0233510239
2683,UPC PANJALIN,CP JATIWANGI,JALAN RAYA PASAR PRAPATAN NO 19 PANJALIN KIDUL,"Majalengka Kulon, Majalengka","Majalengka, Jawa Barat",0233511965
2684,UPC JATITUJUH,CP JATIWANGI,JALAN RAYA JATITUJUH NO 8,"Majalengka Kulon, Majalengka","Majalengka, Jawa Barat",0233882882
2685,UPC SURYA,CP JATIWANGI,JALAN RAYA SILIWANGI NO 8,"Majalengka Kulon, Majalengka","Majalengka, Jawa Barat",02338665126
2686,CP KLAYAN,Wilayah 10 Bandung,JALAN SUNAN GUNUNG JATI NO.46,"Wanakaya, Gunung Jati (Cirebon Utara)","Cirebon, Jawa Barat",0231203050
2687,CP CILAMAYA,Wilayah 10 Bandung,JALAN RAYA CILAMAYA WETAN,"Cilamaya, Cilamaya Wetan","Karawang, Jawa Barat",0264340129
2688,CP CIREBON,Wilayah 10 Bandung,JALAN PALANG MERAH NO.1,"Lemahwungkuk, Lemahwungkuk","Cirebon, Jawa Barat",0231207091
2689,CP PLERED,Wilayah 10 Bandung,JALAN RAYA PLERED NO.130,"Megugede, Weru","Cirebon, Jawa Barat",0231321029
2690,CP JAMBLANG,Wilayah 10 Bandung,JALAN RAYA JAMBLANG NO.27,"Kasugengan Lor, Depok","Cirebon, Jawa Barat",0231341032
2691,CP LOSARI,Wilayah 10 Bandung,JALAN SOEKARNO HATTA NO 329,"Panggangsari, Losari","Cirebon, Jawa Barat",0231831007
2692,CP CILEDUG,Wilayah 10 Bandung,JALAN MERDEKA UTARA NO.01,"Ciledug Lor, Ciledug","Cirebon, Jawa Barat",0231661159
2693,CP ARJAWINANGUN,Wilayah 10 Bandung,JALAN PEGADAIAN NO.54 ARJAWINANGUN,"Jungjang, Arjawinangun","Cirebon, Jawa Barat",0231357189
2694,CP INDRAMAYU,Wilayah 10 Bandung,JL.JENDRAL AHMAD YANI NO. 31,"Lemahabang, Indramayu","Indramayu, Jawa Barat",0234272074
2695,CP KARANGAMPEL,Wilayah 10 Bandung,JALAN RAYA KARANGAMPEL NO.03,"Karangampel Kidul, Karangampel","Indramayu, Jawa Barat",0234484010
2696,CP JATIBARANG,Wilayah 10 Bandung,JALAN N MAYOR SANGUN NO. 07,"Jatibarang, Jatibarang","Indramayu, Jawa Barat",0234351043
2697,CP ANJATAN,Wilayah 10 Bandung,JALAN RAYA ANJATAN NO 14,"Anjatan Utara, Anjatan","Indramayu, Jawa Barat",0234610526
2698,CP PAMANUKAN,Wilayah 10 Bandung,JALAN HUSEN KERTADIBRATA NO. 42/I,"Lengkongjaya, Pamanukan","Subang, Jawa Barat",0260551028
2699,UPC HARJAMUKTI,CP CIREBON,JALAN DUKUH SEMAR NO 15,"Drajat, Kesambi","Cirebon, Jawa Barat",0231233413
2700,UPC CIREMAI,CP CIREBON,JALAN CIREMAI RAYA BLOK A 2/3,"Kalijaga, Harjamukti","Cirebon, Jawa Barat",0231480993
2701,UPC MUNDU,CP CIREBON,JL.RAYA MUNDU PESISIR BLOK KR.GLINDINGAN I NO.8,"Mundupesisir, Mundu","Cirebon, Jawa Barat",02318512456
2702,UPC RAJAWALI,CP CIREBON,JALAN RAJAWALI RAYA NO 22,"Kecapi, Harjamukti","Cirebon, Jawa Barat",0231238364
2703,UPC KEMANTREN,CP CIREBON,JL.PANGERAN CAKRABUANA NO.9,"Cempaka, Talun (Cirebon Selatan)","Cirebon, Jawa Barat",085100769331
2704,UPC KANGGRAKSAN,CP CIREBON,JALAN RAYA KANGGRAKSAN NO.32,"Harjamukti, Harjamukti","Cirebon, Jawa Barat",0231485849
2705,UPC PGC CIREBON,CP CIREBON,JALAN SILIWANGI PGC BLOK A NO.1-2 PAMITRAN,"Kejaksan, Kejaksan","Cirebon, Jawa Barat",0231244901
2706,UPC SUMBER,CP PLERED,JALAN DEWI SARTIKA NO.4,"Sumber, Sumber","Cirebon, Jawa Barat",0231321953
2707,UPC PASAR WERU,CP PLERED,BLOK KAUMAN,"Megugede, Weru","Cirebon, Jawa Barat",0231322510
2708,UPC PALIMANAN,CP JAMBLANG,JALAN RAYA PASAR MINGGU PALIMANAN,"Kempek, Gempol","Cirebon, Jawa Barat",0231341569
2709,UPC PLUMBON,CP JAMBLANG,JALAN RAYA PLUMBON,"Cikeduk, Depok","Cirebon, Jawa Barat",02318330184
2710,UPC PANGKALAN,CP JAMBLANG,JALAN RAYA PANGKALAN-CELANCANG,"Pangkalan, Plered","Cirebon, Jawa Barat",02318228617
2711,UPC GEBANG,CP LOSARI,JALAN RAYA BABAKAN NO 51,"Gebangudik, Gebang","Cirebon, Jawa Barat",0231661560
2712,UPC BABAKAN,CP LOSARI,JALAN PANGERAN SUTAJAYA N0 19,"Babakan, Babakan","Cirebon, Jawa Barat",02318666033
2713,UPC PASAR LOSARI,CP LOSARI,JALAN SOEKARNO HATTA NO 68,"Panggangsari, Losari","Cirebon, Jawa Barat",0231831175
2714,UPC SINDANG LAUT,CP CILEDUG,JALAN PABRIK GULA NO.55,"Lemahabang Kulon, Lemahabang","Cirebon, Jawa Barat",0231635033
2715,UPC PABUARAN,CP CILEDUG,JALAN PRABU KIANSANTANG NO.50,"Damarguna, Ciledug","Cirebon, Jawa Barat",0231662916
2716,UPC SEDONG,CP CILEDUG,JALAN RAYA SEDONG LOR,"Winduhaji, Sedong","Cirebon, Jawa Barat",0231636757
2717,UPC KARANG SEMBUNG,CP CILEDUG,JALAN KIOS PASAR KARANG SEMBUNG,"Karangsembung, Karangsembung","Cirebon, Jawa Barat",02318639128
2718,UPC SUSUKAN,CP ARJAWINANGUN,JALAN KIBAGUS RANGIN NO.4,"Susukan, Susukan","Cirebon, Jawa Barat",02318356010
2719,UPC GEUGESIK,CP ARJAWINANGUN,JALAN PASAR GEGESIK,"Sibubut, Gegesik","Cirebon, Jawa Barat",02318356695
2720,UPC BANGKIR,CP INDRAMAYU,JL.RAYA PASAR BANGKIR,"Rambatan Kulon, Lohbener","Indramayu, Jawa Barat",0234276526
2721,UPC LOSARANG,CP INDRAMAYU,JALAN N. RAYA JANGGA LOSARANG,"Muntur, Losarang","Indramayu, Jawa Barat",02345508643
2722,UPC SUDIRMAN,CP INDRAMAYU,JALAN N JENDRAL SUDIRMAN NO. 199,"Karanganyar, Pasekan","Indramayu, Jawa Barat",0234272625
2723,UPC KEDOKAN BUNDER,CP KARANGAMPEL,JALAN RAYA PASAR KOMPLEK RUKO,"Kedokan Agung, Kedokan Bunder","Indramayu, Jawa Barat",0234487267
2724,UPC JUNTINYUAT,CP KARANGAMPEL,JALAN JUNTINYUAT,"Dadap, Juntinyuat","Indramayu, Jawa Barat",0234429479
2725,UPC TUKDANA,CP JATIBARANG,BLOK PASAR,"Tukdana, Tukdana","Indramayu, Jawa Barat",08112400086
2726,UPC KERTA SEMAYA,CP JATIBARANG,JALAN RAYA BYPASS BLOK PASAR,"Kertasemaya, Kertasemaya","Indramayu, Jawa Barat",02345357251
2727,UPC TERISI,CP JATIBARANG,JALAN RAYA TERISI BLOK KARANGTURI,"Rajasinga, Trisi/Terisi","Indramayu, Jawa Barat",02347146389
2728,UPC LELEA,CP JATIBARANG,BLOK ILIR,"Lelea, Lelea","Indramayu, Jawa Barat",02347141915
2729,UPC TAMBI,CP JATIBARANG,JALAN RAYA SLEMAN TAMBI NO 08,"Tambi, Sliyeg","Indramayu, Jawa Barat",0234351260
2730,UPC KANDANGHAUR,CP ANJATAN,JALAN N. RAYA KANDANGHAUR NO 01,"Wirapanjunan, Kandanghaur","Indramayu, Jawa Barat",02347146377
2731,UPC SUKRA,CP ANJATAN,JALAN N. RAYA SUKRA NO 14,"Sukra, Sukra","Indramayu, Jawa Barat",0234612196
2732,UPC HAURGEULIS,CP ANJATAN,JALAN N. RAYA JENDRAL SUDIRMAN,"Cipancuh, Haurgeulis","Indramayu, Jawa Barat",0234742025
2733,UPC GABUS WETAN,CP ANJATAN,JALAN N. RAYA GABUS WETAN,"Gabuswetan, Gabuswetan","Indramayu, Jawa Barat",02345508527
2734,UPC PATROL,CP ANJATAN,JALAN N. PASAR SAYUR BLOK PASAR PATROL,"Patrollor, Patrol","Indramayu, Jawa Barat",0234612579
2735,UPC BONGAS,CP ANJATAN,BLOK GEBANG MAMPANG,"Margamulya, Bongas","Indramayu, Jawa Barat",0234611710
2736,UPC ERETAN,CP ANJATAN,JALAN N. RAYA ERETAN,"Eretan Wetan, Kandanghaur","Indramayu, Jawa Barat",02345508808
2737,UPC PASAR WATES,CP PAMANUKAN,JALAN RAYA BINONG,"Binong, Binong","Subang, Jawa Barat",02604551686
2738,UPC RANCASARI,CP PAMANUKAN,JALAN IYON MARTASASMITA,"Rancasari, Pamanukan","Subang, Jawa Barat",0260553766
2739,UPC CIASEM,CP PAMANUKAN,JALAN RAYA PANGUNGSEN - CIASEM PANTURA,"Ciasem Girang, Ciasem","Subang, Jawa Barat",02607510613
2740,UPC PUSAKA RATU,CP PAMANUKAN,JALAN RAYA PUSAKANAGARA NO. 8,"Pusakajaya, Pusakajaya","Subang, Jawa Barat",0260540676
2741,UPC KEDAWUNG,CP KLAYAN,JALAN RAYA KEDAWUNG,"Kalibaru, Tengah Tani","Cirebon, Jawa Barat",0231246717
2742,UPC GUNUNG JATI,CP KLAYAN,JALAN SUNAN GUNUNG JATI,"Wanakaya, Gunung Jati (Cirebon Utara)","Cirebon, Jawa Barat",02318336731
2743,UPC CELANCANG,CP KLAYAN,JALAN RAYA GUNUNG JATI,"Wanakaya, Gunung Jati (Cirebon Utara)","Cirebon, Jawa Barat",02318305001
2744,UPC SAMADIKUN,CP KLAYAN,JALAN KAPITEN SAMADIKUN NO.71B,"Kebonbaru, Kejaksan","Cirebon, Jawa Barat",02318336730
2745,UPC GEMPOL,CP CILAMAYA,JALAN RAYA GEMPOL SUKAMULYA,"Wancimekar, Kotabaru","Karawang, Jawa Barat",02648380741
2746,UPC CIKALONG SARI,CP CILAMAYA,JALAN RAYA PANTURA CIKALONG,"Wancimekar, Kotabaru","Karawang, Jawa Barat",02648375207
2747,UPC CIKALONG PASAR,CP CILAMAYA,JALAN RAYA SYECH QURO KRAJAN,"Sukakerta, Cilamaya Wetan","Karawang, Jawa Barat",02648380428
2748,UPC TEMPURAN,CP CILAMAYA,TEMPURAN,"Tempuran, Tempuran","Karawang, Jawa Barat",00
2749,UPC BLANAKAN,CP CILAMAYA,JALAN TANJUNG SARI BLANAKAN,"Langensari, Blanakan","Subang, Jawa Barat",0260510129
2750,CP PEKALONGAN,Wilayah 11 Semarang,JALAN DOKTOR CIPTO MANGUNKUSUMO NOMOR 24,"Sugihwaras, Pekalongan Timur","Pekalongan, Jawa Tengah",0285423629
2751,CP BATANG,Wilayah 11 Semarang,JL.JEND SOEDIRMAN NO.150,"Proyonanggan Tengah, Batang","Batang, Jawa Tengah",0285391104
2752,CP PEMALANG,Wilayah 11 Semarang,JL JENDRAL SUDIRMAN NO. 185,"Mulyoharjo, Pemalang","Pemalang, Jawa Tengah",0284321367
2753,CP TEGAL,Wilayah 11 Semarang,JL. GAJAH MADA NO.5,"Mintaragen, Tegal Timur","Tegal, Jawa Tengah",0283356291
2754,CP KEJAMBON,Wilayah 11 Semarang,JL. KS TUBUN NO.46,"Randugunting, Tegal Selatan","Tegal, Jawa Tengah",0283353724
2755,CP SLAWI,Wilayah 11 Semarang,JL LETJEND SUPRAPTO NO 13,"Pakembaran, Slawi","Tegal, Jawa Tengah",0283491371
2756,CP BREBES,Wilayah 11 Semarang,JALAN JENDERAL SUDIRMAN NO.51,"Brebes, Brebes","Brebes, Jawa Tengah",0283671275
2757,UPC WIRADESA,CP PEKALONGAN,JALAN AHMAD YANI NOMOR 484,"Kepatihan, Wiradesa","Pekalongan, Jawa Tengah",02854410271
2758,UPC KUSUMABANGSA,CP PEKALONGAN,JALAN KUSUMABANGSA NOMOR 16,"Kandangpanjang, Pekalongan Utara","Pekalongan, Jawa Tengah",0285437008
2759,UPC BUARAN,CP PEKALONGAN,JALAN RAYA BANYURIP ALIT,"Banyurip Alit, Pekalongan Selatan","Pekalongan, Jawa Tengah",02854410716
2760,UPC KEDUNGWUNI,CP PEKALONGAN,JL.RAYA KEDUNGWUNI NO.63,"Kedungwuni, Kedungwuni","Pekalongan, Jawa Tengah",0285785226
2761,UPC SRAGI,CP PEKALONGAN,JL.RAYA SRAGI NO.235,"Sragi, Sragi","Pekalongan, Jawa Tengah",02854475178
